Código;Ação;Tipo;Qtde. Teórica;Part. (%)
ALOS3;ALLOS;ON      NM;476.976.044;0,437;
ABEV3;AMBEV S/A;ON;4.394.835.131;2,878;
ASAI3;ASSAI;ON      NM;1.345.832.968;0,483;
AURE3;AUREN;ON      NM;323.738.747;0,121;
AMOB3;AUTOMOB;ON      NM;533.959.816;0,007;
AZUL4;AZUL;PN      N2;326.872.005;0,061;
AZZA3;AZZAS 2154;ON      NM;136.643.320;0,157;
B3SA3;B3;ON      NM;5.392.540.963;2,845;
BBSE3;BBSEGURIDADE;ON      NM;637.332.335;1,235;
BBDC3;BRADESCO;ON  EJ  N1;1.484.426.957;0,788;
BBDC4;BRADESCO;PN  EJ  N1;5.129.958.973;2,952;
BRAP4;BRADESPAR;PN      N1;250.969.312;0,211;
BBAS3;BRASIL;ON  EX  NM;2.842.613.858;3,864;
BRKM5;BRASKEM;PNA     N1;265.388.400;0,137;
BRAV3;BRAVA;ON      NM;460.791.208;0,389;
BRFS3;BRF SA;ON      NM;814.523.002;0,781;
BPAC11;BTGP BANCO;UNT     N2;1.287.247.964;2,091;
CXSE3;CAIXA SEGURI;ON      NM;517.500.000;0,394;
CRFB3;CARREFOUR BR;ON      NM;532.664.283;0,199;
CCRO3;CCR SA;ON      NM;991.920.937;0,577;
CMIG4;CEMIG;PN      N1;1.858.636.840;1,047;
COGN3;COGNA ON;ON      NM;1.872.454.628;0,162;
CPLE6;COPEL;PNB     N2;1.679.233.590;0,836;
CSAN3;COSAN;ON      NM;1.150.987.430;0,400;
CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,361;
CMIN3;CSNMINERACAO;ON      N2;1.646.519.336;0,437;
CVCB3;CVC BRASIL;ON      NM;525.591.097;0,049;
CYRE3;CYRELA REALT;ON      NM;273.755.006;0,306;
ELET3;ELETROBRAS;ON      N1;1.977.170.723;3,887;
ELET6;ELETROBRAS;PNB     N1;268.875.696;0,580;
EMBR3;EMBRAER;ON      NM;734.631.801;2,693;
ENGI11;ENERGISA;UNT     N2;326.175.300;0,649;
ENEV3;ENEVA;ON      NM;1.929.556.616;1,163;
EGIE3;ENGIE BRASIL;ON      NM;255.236.938;0,474;
EQTL3;EQUATORIAL;ON      NM;1.253.541.010;1,999;
FLRY3;FLEURY;ON  ED  NM;455.988.366;0,246;
GGBR4;GERDAU;PN  ED  N1;1.242.683.687;1,032;
GOAU4;GERDAU MET;PN  ED  N1;649.238.303;0,296;
NTCO3;GRUPO NATURA;ON      NM;850.935.197;0,580;
HAPV3;HAPVIDA;ON      NM;4.779.395.040;0,500;
HYPE3;HYPERA;ON      NM;370.735.677;0,368;
IGTI11;IGUATEMI S.A;UNT     N1;211.783.588;0,188;
IRBR3;IRBBRASIL RE;ON      NM;81.838.243;0,187;
ISAE4;ISA ENERGIA;PN  EJ  N1;395.801.044;0,446;
ITSA4;ITAUSA;PN  EJ  N1;5.857.796.242;2,602;
ITUB4;ITAUUNIBANCO;PN  EJ  N1;4.792.902.422;7,876;
JBSS3;JBS;ON      NM;1.145.962.972;1,900;
KLBN11;KLABIN S/A;UNT ED  N2;765.785.673;0,737;
RENT3;LOCALIZA;ON      NM;965.986.531;1,474;
LREN3;LOJAS RENNER;ON      NM;1.051.120.777;0,639;
LWSA3;LWSA;ON      NM;389.635.155;0,053;
MGLU3;MAGAZ LUIZA;ON      NM;353.448.195;0,152;
POMO4;MARCOPOLO;PN      N2;666.378.439;0,221;
MRFG3;MARFRIG;ON      NM;302.019.876;0,229;
BEEF3;MINERVA;ON      NM;261.359.935;0,064;
MRVE3;MRV;ON      NM;377.241.484;0,088;
MULT3;MULTIPLAN;ON      N2;314.150.156;0,339;
PCAR3;P.ACUCAR-CBD;ON      NM;462.534.972;0,057;
PETR3;PETROBRAS;ON      N2;2.255.782.178;4,161;
PETR4;PETROBRAS;PN      N2;4.431.132.660;7,593;
RECV3;PETRORECSA;ON      NM;275.170.410;0,215;
PRIO3;PETRORIO;ON      NM;779.999.989;1,446;
PETZ3;PETZ;ON      NM;293.689.428;0,064;
PSSA3;PORTO SEGURO;ON      NM;182.560.698;0,348;
RADL3;RAIADROGASIL;ON      NM;1.286.616.979;1,201;
RAIZ4;RAIZEN;PN      N2;1.198.936.529;0,103;
RDOR3;REDE D OR;ON      NM;1.145.289.019;1,607;
RAIL3;RUMO S.A.;ON      NM;1.216.914.397;1,071;
SBSP3;SABESP;ON      NM;683.508.568;3,289;
SANB11;SANTANDER BR;UNT;356.586.730;0,449;
STBP3;SANTOS BRP;ON  ED  NM;855.712.622;0,571;
SMTO3;SAO MARTINHO;ON      NM;128.130.966;0,137;
CSNA3;SID NACIONAL;ON;727.459.637;0,310;
SLCE3;SLC AGRICOLA;ON      NM;194.261.422;0,184;
SUZB3;SUZANO S.A.;ON      NM;630.821.784;1,735;
TAEE11;TAESA;UNT     N2;218.568.234;0,365;
VIVT3;TELEF BRASIL;ON  ER;382.442.128;0,947;
TIMS3;TIM;ON      NM;807.495.418;0,685;
TOTS3;TOTVS;ON      NM;540.206.440;0,901;
UGPA3;ULTRAPAR;ON  ED  NM;1.090.134.379;0,860;
USIM5;USIMINAS;PNA     N1;515.193.199;0,152;
VALE3;VALE;ON  ED  NM;4.270.903.023;11,538;
VAMO3;VAMOS;ON      NM;485.166.826;0,090;
VBBR3;VIBRA;ON      NM;1.023.538.460;0,843;
VIVA3;VIVARA S.A.;ON      NM;125.446.075;0,114;
WEGE3;WEG;ON  ED  NM;1.243.177.587;2,949;
YDUQ3;YDUQS PART;ON      NM;277.677.050;0,148;
Quantidade Teórica Total;;;98.454.079.581;100,000
Redutor;;;16.065.734,56815884
