Código;Ação;Tipo;Qtde. Teórica;Part. (%)
ALOS3;ALLOS;ON      NM;476.976.044;0,434;
ABEV3;AMBEV S/A;ON;4.394.835.131;2,834;
ASAI3;ASSAI;ON      NM;1.345.832.968;0,435;
AURE3;AUREN;ON      NM;323.738.747;0,128;
AMOB3;AUTOMOB;ON      NM;533.959.816;0,007;
AZUL4;AZUL;PN  ES  N2;326.872.005;0,062;
AZZA3;AZZAS 2154;ON      NM;136.643.320;0,177;
B3SA3;B3;ON      NM;5.392.540.963;2,879;
BBSE3;BBSEGURIDADE;ON      NM;637.332.335;1,249;
BBDC3;BRADESCO;ON  EJ  N1;1.484.426.957;0,791;
BBDC4;BRADESCO;PN  EJ  N1;5.129.958.973;2,974;
BRAP4;BRADESPAR;PN      N1;250.969.312;0,212;
BBAS3;BRASIL;ON      NM;2.842.613.858;3,956;
BRKM5;BRASKEM;PNA     N1;265.388.400;0,141;
BRAV3;BRAVA;ON      NM;460.791.208;0,372;
BRFS3;BRF SA;ON      NM;814.523.002;0,756;
BPAC11;BTGP BANCO;UNT     N2;1.287.247.964;2,032;
CXSE3;CAIXA SEGURI;ON      NM;517.500.000;0,414;
CRFB3;CARREFOUR BR;ON      NM;532.664.283;0,196;
CCRO3;CCR SA;ON      NM;991.920.937;0,581;
CMIG4;CEMIG;PN      N1;1.858.636.840;1,056;
COGN3;COGNA ON;ON      NM;1.872.454.628;0,148;
CPLE6;COPEL;PNB     N2;1.679.233.590;0,822;
CSAN3;COSAN;ON      NM;1.150.987.430;0,408;
CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,350;
CMIN3;CSNMINERACAO;ON      N2;1.646.519.336;0,453;
CVCB3;CVC BRASIL;ON      NM;525.591.097;0,047;
CYRE3;CYRELA REALT;ON      NM;273.755.006;0,290;
ELET3;ELETROBRAS;ON      N1;1.977.170.723;3,837;
ELET6;ELETROBRAS;PNB     N1;268.875.696;0,568;
EMBR3;EMBRAER;ON      NM;734.631.801;2,755;
ENGI11;ENERGISA;UNT ED  N2;326.175.300;0,625;
ENEV3;ENEVA;ON      NM;1.929.556.616;1,156;
EGIE3;ENGIE BRASIL;ON      NM;255.236.938;0,479;
